model,condition,severity,Recall@1,Recall@5,Recall@10,MRR,Mean Rank,Median Rank
CLIP ViT-B/32,clean,clean,0.5344,0.792,0.8804,0.6501495403245376,5.8792,1.0
CLIP ViT-B/32,blur,mild,0.5264,0.7902,0.8738,0.645022185526608,6.2026,1.0
CLIP ViT-B/32,blur,medium,0.4894,0.7566,0.8506,0.6120214561830956,7.4334,2.0
CLIP ViT-B/32,blur,severe,0.4054,0.6764,0.7796,0.5304472844660093,12.8658,2.0
CLIP ViT-B/32,noise,mild,0.5354,0.7986,0.883,0.6528795586977956,6.126,1.0
CLIP ViT-B/32,noise,medium,0.5122,0.7828,0.8708,0.6327622925436075,6.4742,1.0
CLIP ViT-B/32,noise,severe,0.453,0.731,0.8202,0.5784355024924971,9.108,2.0
CLIP ViT-B/32,occlusion,mild,0.4428,0.7178,0.8216,0.5704438351478078,9.3024,2.0
CLIP ViT-B/32,occlusion,medium,0.3338,0.5886,0.7008,0.4553055782979843,20.6852,3.0
CLIP ViT-B/32,occlusion,severe,0.2372,0.4554,0.5656,0.3461534152769147,37.3614,7.0
CLIP ViT-B/32,blur+noise,mild,0.525,0.7882,0.8688,0.6416503696852376,6.525,1.0
CLIP ViT-B/32,blur+noise,medium,0.438,0.709,0.8144,0.5649056372521547,9.5042,2.0
CLIP ViT-B/32,blur+noise,severe,0.2404,0.4544,0.561,0.3454309527210475,40.2538,8.0
CLIP ViT-B/32,blur+occlusion,mild,0.4438,0.719,0.8136,0.5693136120410416,9.7848,2.0
CLIP ViT-B/32,blur+occlusion,medium,0.2724,0.5108,0.625,0.3873716729489287,28.647,5.0
CLIP ViT-B/32,blur+occlusion,severe,0.1184,0.244,0.328,0.1890245635078511,100.4618,31.5
CLIP ViT-B/32,noise+occlusion,mild,0.445,0.7308,0.829,0.5723877010917744,9.6646,2.0
CLIP ViT-B/32,noise+occlusion,medium,0.3026,0.5506,0.6608,0.4219039463199717,23.7364,4.0
CLIP ViT-B/32,noise+occlusion,severe,0.1554,0.3138,0.4016,0.238398173670664,81.8558,20.0
CLIP ViT-B/32,blur+noise+occlusion,mild,0.4262,0.7106,0.8082,0.5560068059669956,10.0866,2.0
CLIP ViT-B/32,blur+noise+occlusion,medium,0.24,0.4654,0.5702,0.3491326149224757,39.0904,7.0
CLIP ViT-B/32,blur+noise+occlusion,severe,0.0584,0.1278,0.1734,0.1006360851269645,215.9112,119.0
CLIP ViT-L/14,clean,clean,0.6028,0.8548,0.9248,0.7148200700444478,4.0514,1.0
CLIP ViT-L/14,blur,mild,0.6102,0.862,0.9286,0.7208961874871153,3.9074,1.0
CLIP ViT-L/14,blur,medium,0.584,0.8452,0.9192,0.699336481714024,4.1368,1.0
CLIP ViT-L/14,blur,severe,0.5072,0.7756,0.862,0.6290214964052507,6.5602,1.0
CLIP ViT-L/14,noise,mild,0.6076,0.8576,0.925,0.717504617289442,4.1466,1.0
CLIP ViT-L/14,noise,medium,0.606,0.8556,0.9254,0.7161730232008013,4.1696,1.0
CLIP ViT-L/14,noise,severe,0.5704,0.8312,0.906,0.6884895572177082,4.6232,1.0
CLIP ViT-L/14,occlusion,mild,0.5156,0.7734,0.8676,0.6344666781897514,6.391,1.0
CLIP ViT-L/14,occlusion,medium,0.3998,0.6746,0.7734,0.5262364456069907,13.528,2.0
CLIP ViT-L/14,occlusion,severe,0.315,0.56,0.6686,0.4325165428878252,22.3568,4.0
CLIP ViT-L/14,blur+noise,mild,0.6004,0.8476,0.921,0.7106002575891687,4.2866,1.0
CLIP ViT-L/14,blur+noise,medium,0.5614,0.8208,0.8988,0.6783290958789862,4.872,1.0
CLIP ViT-L/14,blur+noise,severe,0.3338,0.5722,0.6636,0.4465332943053439,26.18,3.0
CLIP ViT-L/14,blur+occlusion,mild,0.5174,0.7866,0.8758,0.6386450970146192,5.8632,1.0
CLIP ViT-L/14,blur+occlusion,medium,0.3824,0.6522,0.7452,0.5063008199251341,14.9656,3.0
CLIP ViT-L/14,blur+occlusion,severe,0.2094,0.4098,0.5074,0.3092917461048346,55.0038,10.0
