model,severity,stage,condition,Recall@1,MRR
CLIP ViT-B/32,mild,0,clean,0.5344,0.6501495403245376
CLIP ViT-B/32,mild,1,blur,0.5264,0.645022185526608
CLIP ViT-B/32,mild,2,blur+noise,0.525,0.6416503696852376
CLIP ViT-B/32,mild,3,blur+noise+occlusion,0.4262,0.5560068059669956
CLIP ViT-B/32,medium,0,clean,0.5344,0.6501495403245376
CLIP ViT-B/32,medium,1,blur,0.4894,0.6120214561830956
CLIP ViT-B/32,medium,2,blur+noise,0.438,0.5649056372521547
CLIP ViT-B/32,medium,3,blur+noise+occlusion,0.24,0.3491326149224757
CLIP ViT-B/32,severe,0,clean,0.5344,0.6501495403245376
CLIP ViT-B/32,severe,1,blur,0.4054,0.5304472844660093
CLIP ViT-B/32,severe,2,blur+noise,0.2404,0.3454309527210475
CLIP ViT-B/32,severe,3,blur+noise+occlusion,0.0584,0.1006360851269645
CLIP ViT-L/14,mild,0,clean,0.6028,0.7148200700444478
CLIP ViT-L/14,mild,1,blur,0.6102,0.7208961874871153
CLIP ViT-L/14,mild,2,blur+noise,0.6004,0.7106002575891687
CLIP ViT-L/14,mild,3,blur+noise+occlusion,0.5092,0.6317489626702741
CLIP ViT-L/14,medium,0,clean,0.6028,0.7148200700444478
CLIP ViT-L/14,medium,1,blur,0.584,0.699336481714024
CLIP ViT-L/14,medium,2,blur+noise,0.5614,0.6783290958789862
CLIP ViT-L/14,medium,3,blur+noise+occlusion,0.3124,0.4300324900309353
CLIP ViT-L/14,severe,0,clean,0.6028,0.7148200700444478
CLIP ViT-L/14,severe,1,blur,0.5072,0.6290214964052507
CLIP ViT-L/14,severe,2,blur+noise,0.3338,0.4465332943053439
CLIP ViT-L/14,severe,3,blur+noise+occlusion,0.0788,0.130261278683313
SigLIP ViT-B/16,mild,0,clean,0.7298,0.8151131494755024
SigLIP ViT-B/16,mild,1,blur,0.728,0.8130145944257708
SigLIP ViT-B/16,mild,2,blur+noise,0.7008,0.7924845533536874
SigLIP ViT-B/16,mild,3,blur+noise+occlusion,0.6298,0.7362339970832052
SigLIP ViT-B/16,medium,0,clean,0.7298,0.8151131494755024
SigLIP ViT-B/16,medium,1,blur,0.6904,0.7845452486994188
SigLIP ViT-B/16,medium,2,blur+noise,0.5604,0.673915736066216
SigLIP ViT-B/16,medium,3,blur+noise+occlusion,0.3224,0.4325463560031042
SigLIP ViT-B/16,severe,0,clean,0.7298,0.8151131494755024
SigLIP ViT-B/16,severe,1,blur,0.558,0.6728788797599855
SigLIP ViT-B/16,severe,2,blur+noise,0.1772,0.2637245938519456
SigLIP ViT-B/16,severe,3,blur+noise+occlusion,0.0296,0.0578165334257076
