model,condition,Recall@1,MRR
CLIP ViT-B/32,blur+noise,0.2404,0.3454309527210475
CLIP ViT-B/32,blur+occlusion,0.1184,0.1890245635078511
CLIP ViT-B/32,noise+occlusion,0.1554,0.238398173670664
CLIP ViT-B/32,blur+noise+occlusion,0.0584,0.1006360851269645
CLIP ViT-L/14,blur+noise,0.3338,0.4465332943053439
CLIP ViT-L/14,blur+occlusion,0.2094,0.3092917461048346
CLIP ViT-L/14,noise+occlusion,0.218,0.3180034020856469
CLIP ViT-L/14,blur+noise+occlusion,0.0788,0.130261278683313
SigLIP ViT-B/16,blur+noise,0.1772,0.2637245938519456
SigLIP ViT-B/16,blur+occlusion,0.2028,0.2929162002771219
SigLIP ViT-B/16,noise+occlusion,0.2336,0.3269648412493315
SigLIP ViT-B/16,blur+noise+occlusion,0.0296,0.0578165334257076
